SLR	contig	start	end	cluster
LCP05531_SLR60	LCP05531_contig1	10929000	11038000	cluster14
LCP05531_SLR61	LCP05531_contig1	11405000	11628000	cluster2
LCP05531_SLR62	LCP05531_contig1	11796000	11900000	cluster5
LCP05531_SLR63	LCP05531_contig1	12187000	13088505	cluster3
LCP05531_SLR64	LCP05531_contig1	8196000	8905000	cluster21
LCP05531_SLR65	LCP05531_contig1	9695000	10105000	cluster4
LCP05531_SLR66	LCP05531_contig2	1	258000	cluster1
LCP05531_SLR67	LCP05531_contig2	6187000	6559000	cluster6
LCP05531_SLR68	LCP05531_contig3	2388000	2715000	cluster8
LCP05531_SLR69	LCP05531_contig3	5673000	5727000	cluster11
LCP05531_SLR70	LCP05531_contig4	2950000	3178000	cluster5
LCP05531_SLR71	LCP05531_contig4	3500000	3605000	cluster9
LCP05531_SLR72	LCP05531_contig4	4060000	4230000	cluster7
LCP05531_SLR73	LCP05531_contig4	5863000	5966000	cluster1
LCP05531_SLR74	LCP05531_contig4	6076000	6186000	cluster12
LCP05531_SLR75	LCP05531_contig5	2210000	2327000	cluster22
LCP05531_SLR76	LCP05531_contig5	2490000	2616000	cluster4
LCP05531_SLR77	LCP05531_contig6	939000	982444	cluster14
LCP06093_SLR78	LCP06093_contig1	1	460000	cluster3
LCP06093_SLR79	LCP06093_contig1	1241000	1282000	cluster1
LCP06093_SLR80	LCP06093_contig11	1	309000	cluster2
LCP06093_SLR81	LCP06093_contig12	671000	743000	cluster10
LCP06093_SLR82	LCP06093_contig16	1	211304	cluster3
LCP06093_SLR83	LCP06093_contig2	2634000	2720000	cluster9
LCP06093_SLR84	LCP06093_contig2	4542000	4602000	cluster8
LCP06093_SLR85	LCP06093_contig2	4840000	4961000	cluster13
LCP06093_SLR86	LCP06093_contig2	906000	982000	cluster12
LCP06093_SLR87	LCP06093_contig3	671000	832000	cluster6
LCP06093_SLR88	LCP06093_contig4	2821000	3637881	cluster1
LCP06093_SLR89	LCP06093_contig4	807000	1169000	cluster4
LCP06093_SLR90	LCP06093_contig5	2626000	2774498	cluster7
LCP06093_SLR91	LCP06093_contig5	608000	952000	cluster5
LCP06093_SLR92	LCP06093_contig7	620000	690000	cluster6
