contig	start	end	SRG_name	SRG_start	SRG_end	SRG_length	SRG_sense
ESE00418_contig29	1	271476	ESE00418_fre357	180293	182034	732	-
ESE00418_contig3	494000	669000	ESE00418_tyr642	652195	653889	314	-
ESE00418_contig3	1365000	1704000	ESE00418_fre355	1551792	1553434	709	+
ESE00418_contig3	1365000	1704000	ESE00418_duf3723512	1557778	1558801	185	+
ESE00418_contig3	1365000	1704000	ESE00418_duf3723511	1558805	1559731	252	+
ESE00418_contig3	1365000	1704000	ESE00418_tyr643	1573374	1576043	911	-
ESE00418_contig3	3160000	3382129	ESE00418_tyr644	3162803	3165465	1008	+
ESE00418_contig3	3160000	3382129	ESE00418_duf3723510	3185177	3188041	1014	-
ESE00418_contig3	3160000	3382129	ESE00418_duf3723513	3188158	3188909	233	-
ESE00418_contig34	3946000	4003000	ESE00418_tyr639	3999024	4001898	335	+
ESE00418_contig34	5121000	5258000	ESE00418_tyr640	5180231	5181162	134	+
ESE00418_contig34	8729000	9166162	ESE00418_tyr638	8748908	8751625	902	+
ESE00418_contig34	8729000	9166162	ESE00418_tyr641	9028681	9030323	285	+
ESE00418_contig35	1	211160	ESE00418_duf3723514	106864	107644	248	-
ESE00418_contig36	1	463000	ESE00418_duf3723516	196385	198104	136	+
ESE00418_contig36	1	463000	ESE00418_tyr647	260085	262558	970	-
ESE00418_contig36	1	463000	ESE00418_duf3723515	386128	387930	331	+
ESE00418_contig36	1	463000	ESE00418_tyr645	459678	461898	752	-
ESE00418_contig36	1574000	1876513	ESE00418_tyr646	1574824	1580290	2489	+
ESE00418_contig36	1574000	1876513	ESE00418_fre356	1782858	1784592	901	+
ESE00418_contig36	1574000	1876513	ESE00418_duf3723517	1789801	1792716	1022	+
ESE00418_contig37	1	191958	ESE00418_duf3723518	170978	172346	619	+
ESE00418_contig38	1771000	1801272	ESE00418_tyr648	1772243	1775775	1530	+
ESE00418_contig39	1	146000	ESE00418_duf3723520	30954	33130	1404	+
ESE00418_contig39	1	146000	ESE00418_tyr651	33887	35983	692	-
ESE00418_contig39	1	146000	ESE00418_tyr649	36683	37012	163	+
ESE00418_contig39	1	146000	ESE00418_tyr650	53710	55136	459	-
ESE00418_contig7	1	51532	ESE00418_duf3723519	45039	48216	1004	+
ESE01543_contig15	1	60000	ESE01543_tyr1111	24337	27868	937	-
ESE01543_contig15	4489000	4664322	ESE01543_tyr1110	4508739	4511456	907	+
ESE01543_contig15	4489000	4664322	ESE01543_tyr1109	4631323	4633833	1435	+
ESE01543_contig16	1	734582	ESE01543_myb330	235327	237046	1016	-
ESE01543_contig16	1	734582	ESE01543_duf3723912	287478	289763	308	+
ESE01543_contig16	1	734582	ESE01543_duf3723913	442825	444474	165	+
ESE01543_contig16	1	734582	ESE01543_tyr1112	614945	617682	1294	-
ESE01543_contig17	2321000	2714000	ESE01543_tyr1117	2321820	2324040	752	+
ESE01543_contig17	2321000	2714000	ESE01543_duf3723915	2566234	2568057	337	+
ESE01543_contig17	2321000	2714000	ESE01543_fre620	2655075	2656866	724	+
ESE01543_contig17	2321000	2714000	ESE01543_duf3723916	2661516	2664720	1072	+
ESE01543_contig17	2321000	2714000	ESE01543_tyr1116	2666770	2669281	958	-
ESE01543_contig17	8042000	8373000	ESE01543_tyr1115	8042627	8046270	1058	+
ESE01543_contig17	8042000	8373000	ESE01543_fre619	8099244	8101049	564	+
ESE01543_contig17	8042000	8373000	ESE01543_duf3723914	8105630	8109150	655	-
ESE01543_contig17	9944000	10091000	ESE01543_tyr1113	9964388	9966256	943	-
