sampleID	ESE00019_s00022	ESE00090_SLR20	ESE00090_SLR22	ESE00090_s00154	ESE00418_SLR27	ESE00418_s00613	ESE00418_s00620	ESE01435_s00969	ESE01521_s01016	LCP05531_SLR60	LCP05531_SLR75	LCP05531_s01799	LCP3239_s01654	cluster1	cluster10	cluster11	cluster12	cluster13	cluster14	cluster15	cluster16	cluster17	cluster18	cluster19	cluster2	cluster20	cluster21	cluster22	cluster23	cluster24	cluster25	cluster26	cluster27	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9
ESE01619	0.574000	0.779000	0.855000	0.672000	1.000000	0.642000	1.000000	0.364000	0.293000	1.000000	0.416000	0.347000	0.167000	0.992486	0.626000	0.759000	0.778000	0.982167	0.367000	0.626250	0.994750	0.429250	0.972667	1.000000	0.032000	0.404000	0.813500	0.177500	0.562000	0.749500	0.150500	0.159000	0.195500	0.049083	0.189700	0.216889	0.905250	0.776625	0.473000	0.858167
ESE01623	0.423000	0.823000	0.873000	0.589000	1.000000	0.669000	0.999000	0.532000	0.167000	1.000000	0.366000	0.318000	0.191000	0.992914	0.626667	0.702500	0.992833	0.995500	0.315600	0.780000	0.998750	0.312750	0.621333	0.087000	0.031645	0.961500	0.658500	0.174500	0.523500	1.000000	0.385000	0.135000	0.210500	0.324750	0.221800	0.631556	0.869500	0.765750	0.399000	0.575333
ESE01635	0.620000	0.812000	0.871000	0.593000	1.000000	0.660000	0.996000	0.359000	0.213000	1.000000	0.435000	0.352000	0.205000	0.992857	0.841667	0.666333	0.987167	1.000000	0.286400	0.791750	0.999750	0.410500	0.975667	0.112000	0.033452	0.967000	0.801500	0.178000	0.622000	0.756500	0.273500	0.143000	0.251000	0.301750	0.261700	0.831889	0.879000	0.925000	0.482000	0.846833
ESE01653	0.479000	0.806000	0.855000	0.572000	0.998000	0.572000	0.999000	0.850000	1.000000	0.992000	0.296000	0.301000	0.229000	0.991971	0.595833	0.785667	0.753167	0.998500	0.291600	0.669500	0.996000	0.341000	0.498000	0.091000	0.037677	0.957500	0.658500	0.173500	0.533500	0.998000	0.260000	0.145000	0.170000	0.058083	0.198900	0.206778	0.960500	0.994875	0.362429	0.570667
ESE01661	0.055000	1.000000	1.000000	1.000000	0.703000	0.105000	0.989000	0.121000	0.097000	0.611000	0.172000	0.066000	0.102000	0.204800	0.035833	0.290833	0.421333	0.268500	0.193400	0.313750	0.831500	0.013500	0.145667	0.089000	0.019387	0.191500	0.483500	0.982500	0.069000	0.810000	0.031000	0.105500	0.047500	0.932750	0.077900	0.187333	0.080875	0.119875	0.093143	0.275000
ESE01670	0.531000	0.810000	0.861000	0.570000	1.000000	0.686000	0.996000	0.325000	0.189000	0.991000	0.346000	0.643000	0.222000	0.997457	0.641000	0.651000	0.800167	0.994000	0.999800	0.618500	0.999250	0.344000	0.982667	0.084667	0.032710	0.608500	0.684500	0.182000	0.552500	1.000000	0.055000	0.142000	0.250500	0.319167	0.186500	0.831667	0.907125	0.920875	0.420000	0.609667
ESE01696	0.513000	0.808000	0.863000	0.626000	1.000000	0.668000	0.999000	0.335000	1.000000	1.000000	0.376000	0.357000	0.240000	0.992629	0.632833	0.797667	0.983000	0.995333	0.364200	0.881500	0.998750	0.409750	0.687333	0.093667	0.064710	0.999000	0.760000	0.176500	0.999000	1.000000	0.597500	0.144000	0.246000	0.066250	0.968000	0.304667	0.914250	0.989750	0.881857	0.744000
ESE01841	0.409000	0.818000	0.876000	0.590000	1.000000	0.684000	0.999000	0.497000	0.164000	0.999000	0.348000	0.291000	0.181000	0.993086	0.611000	0.698500	0.993333	0.997000	0.335400	0.773250	0.997750	0.304000	0.621333	0.083000	0.034194	0.961000	0.658500	0.175500	0.525000	1.000000	0.383500	0.136000	0.244000	0.308167	0.196000	0.830333	0.866500	0.763625	0.402714	0.575333
ESE01892	0.462000	0.820000	0.867000	0.568000	1.000000	0.628000	0.999000	0.316000	0.148000	1.000000	0.328000	0.294000	0.220000	0.991171	0.654667	0.726667	0.708167	0.957500	0.309800	0.560250	0.996500	0.337250	0.976333	0.084667	0.033290	0.959500	0.675500	0.175500	0.522500	0.999000	0.263000	0.141000	0.270500	0.329000	0.987600	0.919000	0.975500	0.827125	0.407714	0.587667
ESE01900	0.511000	0.812000	0.872000	0.582000	1.000000	0.677000	0.996000	0.231000	0.194000	0.997000	0.472000	0.324000	0.241000	0.955629	0.276833	0.790167	0.984167	0.996667	0.365600	0.973500	0.996750	0.244500	0.719333	0.119000	0.994419	0.999000	0.486000	0.177000	0.535500	0.771000	0.403000	0.103000	0.263000	0.325333	0.994600	0.815889	0.906500	0.924250	0.907000	0.872500
ESE01960	0.611000	0.805000	0.866000	0.614000	1.000000	1.000000	1.000000	0.370000	0.191000	1.000000	0.581000	0.366000	0.192000	0.997714	0.928167	0.866500	0.980667	0.995667	0.460600	0.982500	0.998000	0.408250	0.780000	0.103000	0.052419	0.566500	0.822000	0.192500	0.999500	0.999500	0.372000	0.134000	0.292000	0.331667	0.993500	0.939444	0.853500	0.792000	0.942286	0.955000
ESE02085	0.574000	0.801000	0.859000	0.589000	1.000000	0.691000	0.999000	0.367000	0.215000	1.000000	0.385000	0.349000	0.180000	0.990800	0.596167	0.967667	0.995833	0.995833	0.416800	0.938250	0.997500	0.416750	0.676000	0.097000	0.052452	0.999000	0.759500	0.179500	0.648000	0.998000	0.598000	0.099000	0.278000	0.322750	0.968900	0.845444	0.859750	0.782000	0.894714	0.737000
ESE02102	0.469000	0.795000	0.847000	0.596000	1.000000	0.685000	1.000000	0.406000	0.307000	1.000000	0.460000	0.305000	0.172000	0.998657	0.800167	0.862333	0.970667	0.998000	0.877000	0.982500	0.969000	0.366250	0.975333	0.094000	0.051452	0.679500	0.798500	0.183500	0.998500	0.992500	0.496000	0.147000	0.269500	0.060500	0.967100	0.324667	0.873000	0.770750	0.899000	0.801500
ESE02164	0.440000	0.815000	0.875000	0.627000	1.000000	0.687000	0.999000	0.460000	0.166000	1.000000	0.460000	0.273000	0.352000	0.990486	0.937333	0.907000	0.993167	1.000000	0.933000	0.982500	0.972750	0.350250	1.000000	0.092000	1.000000	0.656500	0.656000	0.185000	0.668000	0.774500	0.490500	0.145000	0.279500	0.324917	0.988400	0.850556	0.897125	0.881500	0.947286	0.618500
ESE02184	0.578000	0.549000	0.866000	0.559000	1.000000	0.641000	0.999000	0.522000	0.169000	0.999000	0.498000	0.330000	0.161000	0.956457	0.984167	0.705833	0.986000	0.999667	0.273000	0.983000	0.993250	0.345750	0.725000	0.120000	1.000000	0.409000	0.769500	0.180000	0.511500	0.761500	0.059500	0.089500	0.218500	0.061500	0.982600	0.235778	0.740375	0.647625	0.916286	0.654833
ESE02190	0.453000	0.817000	0.875000	0.707000	1.000000	0.647000	0.999000	0.286000	0.193000	1.000000	0.482000	0.340000	0.185000	0.992286	0.490667	0.856333	0.983333	1.000000	0.297000	0.982750	0.997000	0.299750	0.749000	1.000000	1.000000	0.693000	0.799000	0.176500	0.998500	0.999000	0.505000	0.138000	0.287500	0.325417	0.988500	0.832556	0.884875	0.769000	0.916571	0.838667
FM013	0.451000	0.806000	0.721000	0.536000	0.972000	0.701000	0.999000	0.322000	0.176000	1.000000	0.463000	0.311000	0.197000	0.990429	0.772500	0.662000	0.985500	0.996833	0.946200	0.843250	0.990500	0.308750	0.913000	0.096000	0.053419	0.400000	0.784500	0.186500	0.590000	0.998500	0.018000	0.097500	0.278500	0.291917	0.988100	0.813889	0.882000	0.919375	0.910429	0.773167
LCP1920	0.936000	0.778000	0.846000	0.522000	0.958000	0.697000	0.999000	0.317000	0.279000	0.996000	0.538000	0.349000	0.185000	0.957629	0.777333	0.662833	0.975833	0.996833	0.999600	0.857250	0.990000	0.289250	0.973000	0.098000	0.051484	0.388000	0.798500	0.172000	0.559500	1.000000	0.009000	0.088000	0.274500	0.263000	0.987900	0.811111	0.931125	0.863500	0.996429	0.771667
LCP218	0.223000	0.983000	0.958000	0.627000	0.712000	0.082000	0.988000	0.297000	0.124000	0.483000	0.364000	0.123000	0.145000	0.154914	0.132667	0.405167	0.603667	0.438833	0.170000	0.702250	0.802250	0.949500	0.935667	0.045000	0.025613	0.219000	0.494500	0.101500	0.311500	0.803000	0.032000	0.074500	0.218000	0.034000	0.095400	0.175000	0.197875	0.208500	0.352143	0.378167
LCP3239	0.505000	0.882000	1.000000	1.000000	0.725000	0.139000	0.989000	0.396000	0.168000	0.671000	0.448000	0.328000	0.999000	0.232886	0.270167	0.454500	0.640833	0.412000	0.218800	0.769500	0.837750	0.955500	0.951000	0.094667	0.033806	0.278500	0.638500	0.972500	0.532000	0.809500	0.055500	0.189000	0.348000	0.966000	0.164600	0.355000	0.419750	0.228375	0.664286	0.578167
