element	contig	start	end	cluster
ESE00019_SLR9	ESE00019_contig4	1	41000	cluster2
ESE00418_SLR23	ESE00418_contig15	1	123000	cluster11
ESE00418_SLR24	ESE00418_contig16	1377213	2786000	cluster5
ESE00418_SLR26	ESE00418_contig16	6053000	6240539	cluster6
ESE00418_SLR28	ESE00418_contig17	1	67102	cluster2
ESE00418_SLR31	ESE00418_contig20	2495000	2814233	cluster5
ESE00418_SLR32	ESE00418_contig21	419000	555000	cluster4
ESE00418_SLR33	ESE00418_contig3	1365000	1704000	cluster7
ESE00418_SLR34	ESE00418_contig3	3160000	3382129	cluster5
ESE00418_SLR35	ESE00418_contig3	494000	669000	cluster10
ESE00418_SLR36	ESE00418_contig34	3946000	3996696	cluster13
ESE00418_SLR37	ESE00418_contig34	5121000	5178880	cluster16
ESE00418_SLR38	ESE00418_contig34	8729000	9166162	cluster3
ESE00418_SLR39	ESE00418_contig36	1	463000	cluster9
ESE00418_SLR40	ESE00418_contig36	1574000	1876513	cluster6
ESE00418_SLR41	ESE00418_contig38	1771000	1801272	cluster2
ESE00418_SLR42	ESE00418_contig39	1	146000	cluster11
ESE01543_SLR43	ESE01543_contig15	1	60000	cluster2
ESE01543_SLR44	ESE01543_contig15	4489000	4664322	cluster3
ESE01543_SLR45	ESE01543_contig16	1	734582	cluster5
ESE01543_SLR46	ESE01543_contig17	2321000	2714000	cluster9
ESE01543_SLR48	ESE01543_contig17	9944000	10091000	cluster4
ESE01543_SLR49	ESE01543_contig22	1259000	1316000	cluster13
ESE01543_SLR50	ESE01543_contig22	2565000	2741506	cluster1
ESE01543_SLR51	ESE01543_contig23	1	472769	cluster3
ESE01543_SLR53	ESE01543_contig3	1	36000	cluster1
ESE01543_SLR54_1	ESE01543_contig3	367000	623364	cluster12
ESE01543_SLR54_2	ESE01543_contig3	644319	713231	cluster1
ESE01543_SLR55	ESE01543_contig6	1614000	1646611	cluster2
ESE01543_SLR56	ESE01543_contig7	1	182933	cluster2
ESE01543_SLR57	ESE01543_contig9	1755396	1862000	cluster7
ESE01543_SLR58	ESE01543_contig9	2075000	2406000	cluster7
ESE01543_SLR59	ESE01543_contig9	3103000	3280000	cluster10
LCP05531_SLR62	LCP05531_contig1	11796000	11900000	cluster12
LCP05531_SLR63	LCP05531_contig1	12187000	13088505	cluster3
LCP05531_SLR66	LCP05531_contig2	1	119760	cluster5
LCP05531_SLR67	LCP05531_contig2	6187000	6559000	cluster6
LCP05531_SLR68	LCP05531_contig3	2388000	2715000	cluster9
LCP05531_SLR69	LCP05531_contig3	5673000	5727000	cluster13
LCP05531_SLR70	LCP05531_contig4	2950000	3178000	cluster7
LCP05531_SLR71	LCP05531_contig4	3500000	3605000	cluster8
LCP05531_SLR72	LCP05531_contig4	4060000	4230000	cluster10
LCP05531_SLR74	LCP05531_contig4	6076000	6186000	cluster14
